NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1435,E1320500033111,市立吹上中学校,東京都青梅市吹上1,1,,,35.80090307,139.282973,
1436,E1320500034111,市立吹上小学校,東京都青梅市吹上176-1,1,,,35.79719379,139.2827859,
1437,E1320500035111,市立成木小学校,東京都青梅市成木3-423-1,1,,,35.828763,139.260055,
1438,E1320500036111,市立第七中学校,東京都青梅市成木4-544-2,1,,,35.82576741,139.2579811,
1439,E1320500040111,市立第二中学校,東京都青梅市千ヶ瀬町2-155,1,,,35.78563351,139.2748929,
1440,E1320500043111,市立第三中学校,東京都青梅市大門2-301,1,,,35.79734786,139.2924172,
1441,E1320500044111,市立第三小学校,東京都青梅市大門2-317,1,,,35.79841385,139.2937476,
1442,E1320500045111,沢井市民センター,東京都青梅市沢井2-682,1,,,35.80465965,139.1963118,
1443,E1320500047111,市立第二小学校,東京都青梅市長淵4-437,1,,,35.78092404,139.2706198,
1444,E1320500052111,市立第四小学校,東京都青梅市東青梅6-1-1,1,,,35.79408463,139.27181,
1445,E1320500053111,市立藤橋小学校,東京都青梅市藤橋3-13-1,1,,,35.79774,139.30619,
1446,E1320500054111,市立第六小学校,東京都青梅市二俣尾3-903-1,1,,,35.801599,139.216727,
1447,E1320500058111,市立第五小学校,東京都青梅市梅郷3-765-1,1,,,35.78735,139.224421,
1448,E1320500059111,市立西中学校,東京都青梅市梅郷6-1460-1,1,,,35.794655,139.22031,
1449,E1320500063111,市立第一小学校,東京都青梅市本町223,1,,,35.79149722,139.2585893,
1450,E1320500064111,市立友田小学校,東京都青梅市友田町5-332,1,,,35.774186,139.284748,
1451,E1320500067111,市立第一中学校,東京都青梅市裏宿町615,1,,,35.78936831,139.2457671,
1452,E1310100005112,神田一橋中学校,東京都千代田区一ツ橋2-6-14,1,,,35.694133,139.7567743,
1453,E1310100029111,都立日比谷高校,東京都千代田区永田町2-16-1,,,,35.67570919,139.7398678,
1454,E1310100008111,昌平童夢館,東京都千代田区外神田3-4-7,1,,,35.70120546,139.7698634,
1455,E1310100013112,岩本町ほほえみプラザ,東京都千代田区岩本町2-15-3,1,,,35.69439079,139.7779435,
1456,E1310100028111,麹町小学校,東京都千代田区麹町2-8,1,,,35.68555947,139.7396061,
1457,E1310100001112,九段小学校,東京都千代田区三番町16,1,,,35.69051329,139.7407586,
1458,E1310100031111,お茶の水小学校,東京都千代田区神田猿楽町1-1-1,1,,,35.697388,139.760391,
1459,E1310100007111,神田さくら館,東京都千代田区神田司町2-16,1,,,35.6934106,139.768504,
1460,E1310100010111,ちよだパークサイドプラザ,東京都千代田区神田和泉町1,1,,,35.69922771,139.7786294,
1461,E1310100011111,旧今川中学校,東京都千代田区鍛冶町2-4-2,1,,,35.69171046,139.7731382,
1462,E1310100012111,都立一橋高校,東京都千代田区東神田1-12-13,1,,,35.6945488,139.7810002,
1463,E1310100006111,区立スポーツセンター,東京都千代田区内神田2-1-8,1,,,35.6891351,139.7675844,
1464,E1310100004112,富士見みらい館,東京都千代田区富士見1-10-3,1,,,35.697475,139.746658,
1465,E1310100003112,麹町中学校,東京都千代田区平河町2-5-1,1,,,35.68057102,139.7386449,
1466,E1310100002111,番町小学校,東京都千代田区六番町8,1,,,35.6881118,139.734079,
1467,E1312100156111,綾瀬小学校,東京都足立区綾瀬3-12-15,,,,35.763566,139.828444,
1468,E1312100087111,東綾瀬中学校,東京都足立区綾瀬3-23-14,,,,35.76591,139.826875,
1469,E1312100208121,綾瀬なないろ園,東京都足立区綾瀬7-14-12,,,要配慮者,35.773268,139.827198,
1470,E1312100165121,綾瀬あかしあ園,東京都足立区綾瀬7-2-5,,,要配慮者,35.774602,139.824167,
1471,E1312100005121,伊興地域学習センター,東京都足立区伊興2-4-22,,,要配慮者,35.791224,139.781011,
1472,E1312100127111,西伊興小学校,東京都足立区伊興2-6-1,,,,35.792505,139.779747,
1473,E1312100183121,特別養護老人ホームウエルガーデン伊興園,東京都足立区伊興3-7-4,,,要配慮者,35.792077,139.783752,
1474,E1312100067111,伊興小学校,東京都足立区伊興4-16-1,,,,35.795967,139.781023,
1475,E1312100204111,伊興中学校,東京都足立区伊興5-17-1,,,,35.799533,139.781647,
1476,E1312100150111,東栗原小学校,東京都足立区一ツ家3-20-1,,,,35.781081,139.812887,
1477,E1312100210111,加賀中学校,東京都足立区加賀2-25-22,,,,35.792904,139.760372,
1478,E1312100158111,東加平小学校,東京都足立区加平1-12-12,,,,35.776754,139.828337,
1479,E1312100168111,花畑第一小学校,東京都足立区花畑1-29-1,,,,35.799533,139.816368,
1480,E1312100199111,花畑中学校,東京都足立区花畑1-31-1,,,,35.800818,139.814683,
1481,E1312100215121,花畑あかしあ園,東京都足立区花畑3-16-4,,,要配慮者,35.802685,139.810488,
1482,E1312100010121,花畑地域学習センター,東京都足立区花畑4-16-8,,,要配慮者,35.802854,139.807453,
1483,E1312100206121,特別養護老人ホーム花畑あすか苑,東京都足立区花畑4-20-1,,,要配慮者,35.803329,139.807377,
1484,E1312100058111,花畑西小学校,東京都足立区花畑4-21-1,,,,35.803924,139.808302,
1485,E1312100066121,特別養護老人ホーム足立新生苑,東京都足立区花畑4-39-10,,,要配慮者,35.806283,139.810081,
1486,E1312100119111,文教大学東京あだちキャンパス,東京都足立区花畑5-6-1,,,,35.807501,139.80472,
1487,E1312100095111,花畑北中学校,東京都足立区花畑6-12-35,,,,35.807286,139.816207,
1488,E1312100059111,桜花小学校,東京都足立区花畑6-4-6,,,,35.805432,139.816484,
1489,E1312100213121,東京都立足立特別支援学校,東京都足立区花畑7-23-15,,,要配慮者,35.811186,139.819651,
1490,E1312100104121,特別養護老人ホームケアホーム花畑,東京都足立区花畑8-7-6,,,要配慮者,35.8128,139.822612,
1491,E1312100075111,第七中学校,東京都足立区関原3-32-14,,,,35.773297,139.785778,
1492,E1312100131111,関原小学校,東京都足立区関原3-38-3,,,,35.770289,139.787012,
1493,E1312100024111,宮城小学校,東京都足立区宮城1-27-25,,,,35.760156,139.756981,
1494,E1312100012112,江南中学校,東京都足立区宮城1-8-4,,,,35.758119,139.754754,
1495,E1312100012121,江南中学校（一部）,東京都足立区宮城1-8-4,,,要配慮者,35.758053,139.754974,
1496,E1312100111111,東京朝鮮第四初中級学校,東京都足立区興野1-18-12,,,,35.767869,139.78112,
1497,E1312100013121,興本地域学習センター,東京都足立区興野1-18-38,,,要配慮者,35.768304,139.782397,
1498,E1312100036111,栗原北小学校,東京都足立区栗原4-25-9,,,,35.787669,139.787016,
1499,E1312100084121,特別養護老人ホーム古千谷苑,東京都足立区古千谷本町1-3-19,,,要配慮者,35.80312,139.777218,
1500,E1312100205121,舎人あかしあ園,東京都足立区古千谷本町2-25-11,,,要配慮者,35.804751,139.772261,
1501,E1312100028111,古千谷小学校,東京都足立区古千谷本町4-12-16,,,,35.807397,139.778437,
1502,E1312100043111,弘道第一小学校,東京都足立区弘道1-20-8,,,,35.768547,139.814004,
1503,E1312100078111,第十一中学校,東京都足立区弘道1-38-15,,,,35.769936,139.813318,
1504,E1312100203111,江北桜中学校,東京都足立区江北1-17-1,,,,35.769772,139.768735,
1505,E1312100102121,江北ひまわり園,東京都足立区江北1-26-22,,,要配慮者,35.769595,139.76724,
1506,E1312100069121,特別養護老人ホームハピネスあだち,東京都足立区江北3-14-1,,,要配慮者,35.774143,139.763292,
1507,E1312100017121,江北地域学習センター,東京都足立区江北3-39-4,,,要配慮者,35.775892,139.760195,
1508,E1312100016111,江北小学校,東京都足立区江北4-21-1,,,,35.775543,139.765905,
1509,E1312100217111,足立西高校,東京都足立区江北5-7-1,,,,35.776443,139.768226,
1510,E1312100083111,鹿浜菜の花中学校,東京都足立区江北7-17-11,,,,35.781439,139.762895,
1511,E1312100082121,特別養護老人ホーム奉優の家,東京都足立区佐野1-29-3,,,要配慮者,35.788975,139.841623,
1512,E1312100172121,特別養護老人ホームさの,東京都足立区佐野2-30-12,,,要配慮者,35.788509,139.836264,
1513,E1312100134121,佐野地域学習センター,東京都足立区佐野2-43-5,,,要配慮者,35.788127,139.840306,
1514,E1312100022111,皿沼小学校,東京都足立区皿沼1-19-1,,,,35.794548,139.763122,
1515,E1312100093121,特別養護老人ホームさくら,東京都足立区皿沼2-8-8,,,要配慮者,35.790558,139.768211,
1516,E1312100135111,鹿浜西小学校,東京都足立区鹿浜2-24-1,,,,35.780828,139.749818,
1517,E1312100136111,鹿浜五色桜小学校,東京都足立区鹿浜4-20-22,,,,35.781053,139.760342,
1518,E1312100019111,北鹿浜小学校,東京都足立区鹿浜5-27-1,,,,35.785534,139.753485,
1519,E1312100020121,鹿浜地域学習センター,東京都足立区鹿浜6-8-1,,,要配慮者,35.783986,139.758265,
1520,E1312100025111,舎人小学校,東京都足立区舎人1-25-32,,,,35.806154,139.768705,
1521,E1312100021121,舎人地域学習センター,東京都足立区舎人1-3-26,,,要配慮者,35.806092,139.773196,
1522,E1312100026111,舎人第一小学校,東京都足立区舎人6-4-1,,,,35.814295,139.764703,
1523,E1312100108121,特別養護老人ホーム新田楽生苑,東京都足立区新田1-21-20,,,要配慮者,35.777144,139.739163,
1524,E1312100110111,足立新田高校,東京都足立区新田2-10-16,,,,35.770042,139.741231,
1525,E1312100139121,新田地域学習センター,東京都足立区新田2-2-2,,,要配慮者,35.771554,139.738132,
1526,E1312100120111,順天中学校・順天高等学校新田キャンパス,東京都足立区新田2-9-3,,,,35.770948,139.739062,
1527,E1312100023111,新田小学校（新田学園）,東京都足立区新田3-34-2,,,,35.769402,139.746691,
1528,E1312100023112,新田中学校（新田学園）,東京都足立区新田3-34-2,,,,35.769363,139.746776,
1529,E1312100080111,第十三中学校,東京都足立区神明南1-16-1,,,,35.790739,139.828774,
1530,E1312100171121,神明障がい福祉施設,東京都足立区神明南2-6-18,,,要配慮者,35.787756,139.833115,
1531,E1312100103111,江北高校,東京都足立区西綾瀬4-14-30,,,,35.766812,139.820014,
1532,E1312100140121,西綾瀬ボランティアセンター,東京都足立区西綾瀬4-5-6,,,要配慮者,35.764705,139.819628,
1533,E1312100042111,弘道小学校,東京都足立区西綾瀬4-7-27,,,,35.765502,139.81933,
1534,E1312100056121,西伊興ひまわり園,東京都足立区西伊興2-1-8,,,要配慮者,35.793293,139.778677,
1535,E1312100085121,特別養護老人ホームピオーネ西新井,東京都足立区西新井1-33-15,,,要配慮者,35.781646,139.783253,
1536,E1312100057121,西新井ひまわり工房,東京都足立区西新井2-11-4,,,要配慮者,35.783106,139.783017,
1537,E1312100089121,特別養護老人ホームル・ソラリオン西新井,東京都足立区西新井3-14-3,,,要配慮者,35.787586,139.781488,
1538,E1312100105111,足立工業高校,東京都足立区西新井4-30-1,,,,35.787899,139.777786,
1539,E1312100126111,西新井第二小学校,東京都足立区西新井4-34-1,,,,35.78949,139.778001,
1540,E1312100189121,介護老人保健施設いずみ,東京都足立区西新井5-35-2,,,要配慮者,35.785576,139.775652,
1541,E1312100009111,西新井第一小学校,東京都足立区西新井6-21-3,,,,35.780176,139.776417,
1542,E1312100091111,西新井中学校,東京都足立区西新井7-22-1,,,,35.782681,139.771123,
1543,E1312100034111,亀田小学校,東京都足立区西新井栄町1-1-1,,,,35.773051,139.792254,
1544,E1312100149111,栗原小学校,東京都足立区西新井栄町2-10-18,,,,35.776916,139.78771,
1545,E1312100190121,介護老人保健施設むくげのいえ,東京都足立区西新井本町1-25-36,,,要配慮者,35.77474,139.779578,
1546,E1312100187121,介護老人保健施設レーベンハウス,東京都足立区西新井本町2-23-1,,,要配慮者,35.774766,139.772712,
1547,E1312100073111,第五中学校,東京都足立区西新井本町2-3-1,,,,35.777382,139.775933,
1548,E1312100008111,西新井小学校,東京都足立区西新井本町4-9-27,,,,35.774517,139.781362,
1549,E1312100081111,第十四中学校,東京都足立区西竹の塚1-8-1,,,,35.793363,139.788244,
1550,E1312100062111,渕江小学校,東京都足立区西保木間1-10-3,,,,35.796309,139.798152,
1551,E1312100196111,竹の塚中学校,東京都足立区西保木間4-12-13,,,,35.804876,139.795279,
1552,E1312100175111,西保木間小学校,東京都足立区西保木間4-2-1,,,,35.802836,139.796406,
1553,E1312100109111,青井高校,東京都足立区青井1-7-35,,,,35.773621,139.812084,
1554,E1312100044111,青井小学校,東京都足立区青井3-12-2,,,,35.770655,139.821202,
1555,E1312100198111,青井中学校,東京都足立区青井4-19-1,,,,35.775035,139.818327,
1556,E1312100164121,足立あかしあ園,東京都足立区青井4-30-5,,,要配慮者,35.776548,139.819715,
1557,E1312100037111,栗島小学校,東京都足立区青井6-13-10,,,,35.776879,139.812582,
1558,E1312100113111,東京芸術大学千住校地,東京都足立区千住1-25-1,,,,35.747241,139.802125,
1559,E1312100118111,順徳学園,東京都足立区千住2-11,,,,35.749467,139.800645,
1560,E1312100122111,千寿本町小学校,東京都足立区千住3-30,,,,35.75153,139.801872,
1561,E1312100004111,千寿常東小学校,東京都足立区千住旭町10-31,,,,35.747881,139.807938,
1562,E1312100116111,東京電機大学東京千住アネックス,東京都足立区千住旭町38-1,,,,35.750958,139.807459,
1563,E1312100117111,足立学園,東京都足立区千住旭町40-24,,,,35.749906,139.807157,
1564,E1312100094121,東京電機大学東京千住キャンパス,東京都足立区千住旭町5,,,要配慮者,35.748764,139.806381,
1565,E1312100180111,第一中学校,東京都足立区千住河原町4-7,,,,35.743735,139.795481,
1566,E1312100125111,千寿第八小学校,東京都足立区千住関屋町16-1,,,,35.742478,139.8059,
1567,E1312100071111,千寿青葉中学校,東京都足立区千住宮元町27-6,,,,35.748504,139.795685,
1568,E1312100121111,千寿小学校,東京都足立区千住宮元町6-1,,,,35.745339,139.796498,
